variable_name*standard_name : mapped_name
AIRT*air_temperature : air_temperature
ARGOS_lat*argos_latitude : latitude
ARGOS_lon*argos_longitude : longitude
ATMS*air_pressure : air_pressure
CNDC*sea_water_electrical_conductivity : sea_water_electrical_conductivity
DEPTH*depth : depth
LATITUDE*latitude : latitude
LONGITUDE*longitude : longitude
LW*surface_downwelling_longwave_flux_in_air : surface_downwelling_longwave_flux_in_air
MicroTSG-Conductivity*microtsg_conductivity : sea_water_electrical_conductivity
MicroTSG-Salinity*microtsg_salinity : sea_water_salinity
MicroTSG-Temperature*microtsg_temperature : sea_water_temperature
PRES_ADJUSTED*sea_water_pressure : sea_water_pressure
PSAL_ADJUSTED*sea_water_salinity : sea_water_salinity
RAIN*rainfall_rate : rainfall_rate
RELH*relative_humidity : relative_humidity
RMY-Bow-AirTemp*rmy_bow_airtemp : air_temperature
RMY-Bow-BaroPressure*rmy_bow_baropressure : air_pressure
RMY-Bow-RelHumidity*rmy_bow_relhumidity : relative_humidity
SH*specific_humidity : specific_humidity
SW*surface_downwelling_shortwave_flux_in_air : surface_downwelling_shortwave_flux_in_air
TEMP_ADJUSTED*sea_water_temperature : sea_water_temperature
TSKIN*sea_surface_skin_temperature : sea_surface_skin_temperature
Time*time : time
TIME*time : time
JULD*time : time
Tsal-Conductivity*tsal_conductivity : sea_water_electrical_conductivity
Tsal-SST*tsal_sst : sea_surface_temperature
Tsal-Salinity*tsal_salinity : sea_water_salinity
Tsal-Temperature*tsal_temperature : sea_water_temperature
UWND*eastward_wind : eastward_wind
VWND*northward_wind : northward_wind
YSI_temperature*temperature : sea_water_temperature
air_pres*air_pressure : air_pressure
air_pressure*air_pressure : air_pressure
air_temp*air temperature : air_temperature
air_temp_10*air_temperature : air_temperature
air_temp_2*air_temperature : air_temperature
air_temperature*air_temperature : air_temperature
air_temperature_at_16p5m*air_temperature : air_temperature
airpressure*air pressure : air_pressure
barometric_pressure*barometric pressure : air_pressure
beam_transmission*volume_beam_attenuation_coefficient_of_radiative_flux_in_sea_water : volume_beam_attenuation_coefficient_of_radiative_flux_in_sea_water
conductivity*conductivity : sea_water_electrical_conductivity
course_over_ground*platform_course : platform_course
ctd_pressure*sea_water_pressure : sea_water_pressure
ctd_salinity*sea_water_practical_salinity : sea_water_practical_salinity
ctd_temperature*sea_water_temperature : sea_water_temperature
cumulative_rain*thickness_of_rainfall_amount : thickness_of_rainfall_amount
cur_dir*surface_current_direction : sea_water_velocity_to_direction
cur_spd*surface_current_speed : sea_water_speed
current_direction*sea_water_to_direction : sea_water_velocity_to_direction
density*sea_water_sigma_theta : sea_water_sigma_theta
density_at_2m*sea_water_density : sea_water_density
depth*depth : depth
dic_at_0m*mole_concentration_of_dissolved_inorganic_carbon_in_sea_water : mole_concentration_of_dissolved_inorganic_carbon_in_sea_water
downwelling_IR*downwelling_longwave_flux_in_air : downwelling_longwave_flux_in_air
downwelling_longwave_infrared_radiation*downwelling_longwave_radiance_in_air : downwelling_longwave_radiance_in_air
downwelling_shortwave_solar_radiation*downwelling_shortwave_radiance_in_air : downwelling_shortwave_radiance_in_air
downwelling_solar*solar_irradiance : solar_irradiance
drifterID*drifter_id : feature_id
drifter_velocity*platform_speed_wrt_ground : platform_speed_wrt_ground
eastward_current*eastward_sea_water_velocity : eastward_sea_water_velocity
